Time [s],Channel,Value
0.009024990,1,43119
0.009036330,2,43119
0.009047670,1,42922
0.009059015,2,42922
0.009070355,1,43046
0.009081695,2,43046
0.009093040,1,43284
0.009104380,2,43284
0.009115720,1,43542
0.009127060,2,43542
0.009138405,1,43828
0.009149745,2,43828
0.009161085,1,44391
0.009172430,2,44391
0.009183770,1,44984
0.009195110,2,44984
0.009206450,1,45410
0.009217795,2,45410
0.009229135,1,45927
0.009240475,2,45927
0.009251820,1,47095
0.009263160,2,47095
0.009274500,1,47603
0.009285840,2,47603
0.009297185,1,48304
0.009308525,2,48304
0.009319865,1,49347
0.009331205,2,49347
0.009342550,1,50447
0.009353890,2,50447
0.009365230,1,51678
0.009376575,2,51678
0.009387915,1,52514
0.009399255,2,52514
0.009410595,1,54129
0.009421940,2,54129
0.009433280,1,54766
0.009444620,2,54766
0.009455960,1,55948
0.009467305,2,55948
0.009478645,1,57075
0.009489985,2,57075
0.009501330,1,58728
0.009512670,2,58728
0.009524010,1,59796
0.009535350,2,59796
0.009546695,1,61280
0.009558035,2,61280
0.009569375,1,62752
0.009580720,2,62752
0.009592060,1,63919
0.009603400,2,63919
0.009614740,1,257
0.009626085,2,257
0.009637425,1,1562
0.009648765,2,1562
0.009660105,1,2792
0.009671450,2,2792
0.009682790,1,4462
0.009694130,2,4462
0.009705470,1,5745
0.009716815,2,5745
0.009728155,1,6930
0.009739495,2,6930
0.009750840,1,8602
0.009762180,2,8602
0.009773520,1,9700
0.009784865,2,9700
0.009796205,1,10755
0.009807545,2,10755
0.009818885,1,12110
0.009830230,2,12110
0.009841570,1,12426
0.009852910,2,12426
0.009864250,1,13893
0.009875595,2,13893
0.009886935,1,14007
0.009898275,2,14007
0.009909620,1,14912
0.009920960,2,14912
0.009932300,1,15185
0.009943640,2,15185
0.009954985,1,16212
0.009966325,2,16212
0.009977665,1,15590
0.009989005,2,15590
0.010000350,1,16439
0.010011690,2,16439
0.010023030,1,17042
0.010034375,2,17042
0.010045715,1,17410
0.010057055,2,17410
0.010068395,1,17768
0.010079740,2,17768
0.010091080,1,17827
0.010102420,2,17827
0.010113760,1,18263
0.010125105,2,18263
0.010136445,1,18566
0.010147785,2,18566
0.010159130,1,18820
0.010170470,2,18820
0.010181810,1,18706
0.010193150,2,18706
0.010204495,1,18531
0.010215835,2,18531
0.010227175,1,18302
0.010238515,2,18302
0.010249860,1,18062
0.010261200,2,18062
0.010272540,1,17700
0.010283885,2,17700
0.010295225,1,17292
0.010306565,2,17292
0.010317905,1,16912
0.010329250,2,16912
0.010340590,1,16699
0.010351930,2,16699
0.010363275,1,16205
0.010374615,2,16205
0.010385955,1,15561
0.010397295,2,15561
0.010408640,1,14850
0.010419980,2,14850
0.010431320,1,14057
0.010442660,2,14057
0.010454005,1,13297
0.010465345,2,13297
0.010476685,1,12232
0.010488025,2,12232
0.010499370,1,11447
0.010510710,2,11447
0.010522050,1,10220
0.010533395,2,10220
0.010544735,1,9611
0.010556075,2,9611
0.010567420,1,8127
0.010578760,2,8127
0.010590100,1,7164
0.010601440,2,7164
0.010612785,1,6236
0.010624125,2,6236
0.010635465,1,4737
0.010646810,2,4737
0.010658150,1,3755
0.010669490,2,3755
0.010680830,1,2831
0.010692170,2,2831
0.010703515,1,1163
0.010714855,2,1163
0.010726195,1,149
0.010737540,2,149
0.010748880,1,64511
0.010760220,2,64511
0.010771560,1,63208
0.010782905,2,63208
0.010794245,1,61944
0.010805585,2,61944
0.010816925,1,60990
0.010828270,2,60990
0.010839610,1,59578
0.010850950,2,59578
0.010862295,1,58544
0.010873635,2,58544
0.010884975,1,57693
0.010896320,2,57693
0.010907660,1,56294
0.010919000,2,56294
0.010930340,1,55534
0.010941680,2,55534
0.010953025,1,54418
0.010964365,2,54418
0.010975705,1,53394
0.010987050,2,53394
0.010998390,1,52500
0.011009730,2,52500
0.011021075,1,51859
0.011032415,2,51859
0.011043755,1,50816
0.011055095,2,50816
0.011066435,1,49938
0.011077780,2,49938
0.011089120,1,48967
0.011100465,2,48967
0.011111805,1,48771
0.011123145,2,48771
0.011134485,1,48413
0.011145830,2,48413
0.011157170,1,47632
0.011168510,2,47632
0.011179855,1,46851
0.011191190,2,46851
0.011202535,1,46674
0.011213875,2,46674
0.011225220,1,46076
0.011236560,2,46076
0.011247900,1,46285
0.011259240,2,46285
0.011270585,1,45900
0.011281925,2,45900
0.011293265,1,45926
0.011304605,2,45926
0.011315950,1,45980
0.011327290,2,45980
0.011338630,1,45912
0.011349970,2,45912
0.011361315,1,46070
0.011372655,2,46070
0.011383995,1,46322
0.011395340,2,46322
0.011406680,1,46875
0.011418020,2,46875
0.011429365,1,47055
0.011440705,2,47055
0.011452045,1,47316
0.011463385,2,47316
0.011474725,1,47981
0.011486070,2,47981
0.011497410,1,48557
0.011508750,2,48557
0.011520095,1,49231
0.011531435,2,49231
0.011542775,1,50022
0.011554115,2,50022
0.011565460,1,50765
0.011576800,2,50765
0.011588140,1,51514
0.011599485,2,51514
0.011610825,1,52445
0.011622165,2,52445
0.011633505,1,53065
0.011644850,2,53065
0.011656190,1,54397
0.011667530,2,54397
0.011678875,1,55393
0.011690215,2,55393
0.011701555,1,56555
0.011712895,2,56555
0.011724240,1,57172
0.011735580,2,57172
0.011746920,1,58967
0.011758260,2,58967
0.011769605,1,59621
0.011780945,2,59621
0.011792285,1,60728
0.011803625,2,60728
0.011814970,1,62195
0.011826310,2,62195
0.011837650,1,63112
0.011848990,2,63112
0.011860335,1,64621
0.011871675,2,64621
0.011883015,1,174
0.011894360,2,174
0.011905700,1,1273
0.011917040,2,1273
0.011928385,1,2504
0.011939725,2,2504
0.011951065,1,3715
0.011962405,2,3715
0.011973750,1,4620
0.011985090,2,4620
0.011996430,1,6020
0.012007775,2,6020
0.012019115,1,6975
0.012030455,2,6975
0.012041795,1,7986
0.012053140,2,7986
0.012064480,1,9064
0.012075820,2,9064
0.012087160,1,9738
0.012098505,2,9738
0.012109845,1,11013
0.012121185,2,11013
0.012132530,1,12032
0.012143870,2,12032
0.012155210,1,12465
0.012166550,2,12465
0.012177895,1,13628
0.012189235,2,13628
0.012200575,1,14489
0.012211915,2,14489
0.012223260,1,15233
0.012234600,2,15233
0.012245940,1,15770
0.012257285,2,15770
0.012268625,1,16374
0.012279965,2,16374
0.012291305,1,16651
0.012302650,2,16651
0.012313990,1,17159
0.012325330,2,17159
0.012336670,1,17528
0.012348015,2,17528
0.012359355,1,17766
0.012370695,2,17766
0.012382035,1,18318
0.012393380,2,18318
0.012404720,1,18045
0.012416060,2,18045
0.012427400,1,18448
0.012438745,2,18448
0.012450085,1,18358
0.012461425,2,18358
0.012472770,1,18269
0.012484110,2,18269
0.012495450,1,18320
0.012506790,2,18320
0.012518135,1,18009
0.012529475,2,18009
0.012540815,1,17915
0.012552160,2,17915
0.012563500,1,17383
0.012574840,2,17383
0.012586180,1,16839
0.012597525,2,16839
0.012608865,1,16538
0.012620205,2,16538
0.012631550,1,16040
0.012642890,2,16040
0.012654230,1,15304
